c Problem line (nodes, links)
p max 16 48
c source
n 1 s
c sink
n 2 t
c Arc descriptor lines (from, to, capacity)
a 1 2 1
a 2 1 1
a 1 3 1
a 3 1 1
a 1 16 1
a 16 1 1
a 2 3 1
a 3 2 1
a 2 4 1
a 4 2 1
a 3 7 1
a 7 3 1
a 4 5 1
a 5 4 1
a 4 6 1
a 6 4 1
a 5 6 1
a 6 5 1
a 5 10 1
a 10 5 1
a 6 8 1
a 8 6 1
a 7 8 1
a 8 7 1
a 7 9 1
a 9 7 1
a 8 9 1
a 9 8 1
a 9 13 1
a 13 9 1
a 10 11 1
a 11 10 1
a 10 12 1
a 12 10 1
a 11 12 1
a 12 11 1
a 11 16 1
a 16 11 1
a 12 14 1
a 14 12 1
a 13 14 1
a 14 13 1
a 13 15 1
a 15 13 1
a 14 15 1
a 15 14 1
a 15 16 1
a 16 15 1
c
c End of file
